         1083308 function calls (1064498 primitive calls) in 1.968 seconds

   Ordered by: cumulative time
   List reduced from 366 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6160    0.025    0.000    0.028    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\constraints.py:22(_normalize3)
      570    0.001    0.000    0.026    0.000 C:\杂件\open-kinematics\.venv\Lib\site-packages\numpy\_core\shape_base.py:784(block)
      324    0.005    0.000    0.026    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\dynamics\forces.py:197(_evaluate_spring_dynamic)
      117    0.009    0.000    0.025    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\constraints.py:205(residual)
      128    0.002    0.000    0.025    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\elements\elastic.py:180(__post_init__)
      100    0.005    0.000    0.024    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\elements\elastic.py:88(evaluate)
     2599    0.005    0.000    0.022    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\spatial.py:187(_from_unchecked)
       18    0.001    0.000    0.022    0.001 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\rigid_body.py:80(retract)
     2950    0.002    0.000    0.021    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\elements\elastic.py:50(_point)
        2    0.001    0.000    0.021    0.011 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\model\front_axle.py:352(build_front_axle)
     2599    0.015    0.000    0.019    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\spatial.py:96(_rotation_vector_to_quaternion_unchecked)
      774    0.008    0.000    0.019    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\rigid_body.py:23(__post_init__)
     1872    0.003    0.000    0.019    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\constraints.py:66(residual)
       81    0.016    0.000    0.018    0.000 C:\杂件\open-kinematics\.venv\Lib\site-packages\numpy\linalg\_linalg.py:320(solve)
      191    0.003    0.000    0.018    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\constraints.py:105(jacobian)
     2674    0.010    0.000    0.017    0.000 C:\杂件\open-kinematics\.venv\Lib\site-packages\numpy\_core\shape_base.py:295(hstack)
      748    0.006    0.000    0.016    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\elements\elastic.py:18(_curve_value)
      446    0.003    0.000    0.016    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\dynamics\tires.py:104(evaluate)
      230    0.002    0.000    0.016    0.000 C:\杂件\open-kinematics\packages\suspension_multibody\src\suspension_multibody\core\spatial.py:176(retract)



sample_count=3
max_position_residual=3.55591623702e-07
max_velocity_residual=5.74318370639e-12
profile=.codex-tasks\20260805-optimize-full-mbd-speed\raw\full_vehicle_short.prof
